"X","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness","leaf_mass_per_area","leaf_N_per_dry_mass","seed_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","huber_value","plant_diameter_breast_height","leaf_lifespan","MAT","MAP","n_cells"
4196,"Daucus glochidiatus","Daucus","Apiaceae",22.2,2.67,3.85,0.75,6.57,NA,442,NA,NA,72.2,NA,1.47,NA,NA,NA,NA,NA,16.2212559182182,576.75029280862,8544
4197,"Daviesia buxifolia","Daviesia","Fabaceae",21,1.8,2.89,2,14.5,NA,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,12.9019219941197,860.513812154696,181
4198,"Daviesia genistifolia","Daviesia","Fabaceae",21.2,2.56,3.78,2,1.09,1.25,NA,NA,NA,318,16.8,9.32,NA,481,NA,NA,NA,15.7578233033252,797.625979843225,893
4199,"Daviesia grossa","Daviesia","Fabaceae",40,3.56,5.48,3,2,2.65,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,16.1767501831055,424,2
4200,"Daviesia latifolia","Daviesia","Fabaceae",105,1.71,3.04,5,45,1.1,3160,0.66,NA,120,18.5,4.28,0.612,508,0.000372,NA,NA,12.4117500361859,961.187695516163,1918
4201,"Daviesia leptophylla","Daviesia","Fabaceae",60.8,1.84,2.87,2,5.98,1.05,143,NA,NA,186,NA,5.66,NA,NA,NA,NA,NA,13.1050648495311,827.450607501321,1893
4202,"Daviesia mimosoides","Daviesia","Fabaceae",116,1.98,2.54,2,17.2,NA,242,0.652,NA,198,NA,3.42,NA,NA,NA,NA,NA,12.1592636632248,879.671361502347,1066
4203,"Daviesia suaveolens","Daviesia","Fabaceae",65,2.02,3.4,6,10.5,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,13.496513073261,882.576923076923,52
4204,"Daviesia ulicifolia","Daviesia","Fabaceae",14.4,1.87,3.61,2.5,3.19,NA,323,0.755,NA,220,NA,6.84,NA,NA,NA,NA,NA,14.1137064411193,926.361722956437,4087
4205,"Daviesia wyattiana","Daviesia","Fabaceae",185,2.36,4.47,2.5,6.67,1.55,414,0.684,NA,138,NA,11.8,NA,NA,NA,NA,NA,17.3731923536821,994.151515151515,165
4206,"Deschampsia cespitosa","Deschampsia","Poaceae",340,1.31,2.46,2,3.25,NA,3990,NA,NA,311,NA,0.383,NA,NA,NA,NA,NA,8.50380938123948,1343.0396039604,101
4207,"Deyeuxia brachyathera","Deyeuxia","Poaceae",225,1.74,3.22,1.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4208,"Deyeuxia carinata","Deyeuxia","Poaceae",85,1.48,4.44,0.55,2.5,NA,186,NA,NA,104,NA,0.282,NA,NA,NA,NA,NA,NA,NA,NA
4209,"Deyeuxia crassiuscula","Deyeuxia","Poaceae",65,0.68,2.46,0.686,4,NA,272,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4210,"Deyeuxia monticola","Deyeuxia","Poaceae",125,1.73,3.94,1.35,1.5,NA,1.57,NA,NA,NA,NA,0.357,NA,NA,NA,NA,NA,9.60318237679715,1181.18455971049,829
4211,"Digitaria ammophila","Digitaria","Poaceae",120,0.99,3.21,0.8,4.5,NA,230,NA,NA,49.9,11.9,0.532,0.86,412,NA,NA,NA,19.6288224118427,461.388349514563,515
4212,"Digitaria brownii","Digitaria","Poaceae",75,4.54,5.02,1,3.75,NA,350,NA,NA,88.6,NA,0.602,NA,NA,NA,NA,NA,19.7228169283355,498.278021539689,2507
4213,"Dillwynia phylicoides","Dillwynia","Fabaceae",6.75,1.6,2.31,1.5,0.5,NA,2.3,NA,NA,110,NA,3.22,NA,NA,NA,NA,NA,13.2556584922361,932.053852526926,1207
4214,"Dillwynia ramosissima","Dillwynia","Fabaceae",7.75,1.71,2.31,1.5,0.5,NA,NA,NA,NA,NA,NA,2.68,NA,NA,NA,NA,NA,13.4185654135311,916.101960784314,255
4215,"Dillwynia retorta","Dillwynia","Fabaceae",8,1.89,2.71,3,0.5,NA,5.57,0.813,NA,111,19.5,5.2,0.53,NA,0.00035,NA,NA,16.1022479916694,1073.99045967043,1157
4216,"Dillwynia rudis","Dillwynia","Fabaceae",NA,1.72,2.26,1,NA,NA,13,NA,NA,243,NA,2.74,NA,NA,NA,NA,NA,NA,NA,NA
4217,"Dillwynia sericea","Dillwynia","Fabaceae",15,1.43,1.96,1.5,0.7,NA,22.2,NA,0.318,510,NA,1.72,NA,NA,NA,NA,NA,14.0574436545907,761.790358744395,2677
4218,"Diplaspis nivis","Diplaspis","Apiaceae",NA,1.62,2.81,0.129,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,7.3846860965093,1487.23333333333,60
4219,"Dissiliaria baloghioides","Dissiliaria","Picrodendraceae",85,4.98,9.86,36,45,NA,2830,0.848,NA,104,NA,68.1,NA,NA,NA,NA,NA,19.9283795052386,1291.97872340426,47
4220,"Drosera arcturi","Drosera","Droseraceae",130,0.438,1.04,0.209,NA,NA,307,NA,NA,60.4,NA,0.0654,NA,NA,NA,NA,NA,7.7702319052682,1772.70895522388,134
4221,"Drosera auriculata","Drosera","Droseraceae",4,0.28,0.565,0.8,4,NA,NA,NA,NA,NA,NA,0.0181,NA,NA,NA,NA,NA,NA,NA,NA
4222,"Elaeocarpus reticulatus","Elaeocarpus","Elaeocarpaceae",110,5.57,6.58,30,27.6,NA,1470,0.633,NA,117,10.6,110,0.471,NA,NA,450,NA,15.7188451765497,1130.72888546086,2596
4223,"Enneapogon nigricans","Enneapogon","Poaceae",43.5,1.55,1.96,0.55,2.58,NA,556,NA,NA,107,NA,1.22,NA,NA,NA,NA,NA,15.9380843960986,520.88127090301,1795
4224,"Enteropogon ramosus","Enteropogon","Poaceae",115,5.69,2.03,1,3.3,NA,247,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,20.1885906025235,396.141928494041,923
4225,"Epacris glacialis","Epacris","Ericaceae",3.25,0.43,0.67,0.3,2.25,NA,5.05,NA,NA,121,NA,0.0356,NA,NA,NA,NA,NA,6.99081245490483,1561.25,56
4226,"Epacris paludosa","Epacris","Ericaceae",10.8,0.38,0.5,1.6,2.62,NA,11.5,NA,NA,102,NA,0.028,NA,NA,NA,NA,NA,10.5883168846596,1184.18511450382,524
4227,"Epacris petrophila","Epacris","Ericaceae",2.7,0.39,0.64,0.8,1.35,NA,8.5,NA,NA,52.9,NA,0.0265,NA,NA,NA,NA,NA,7.85498646604336,1300.9756097561,123
4228,"Eragrostis dielsii","Eragrostis","Poaceae",60,0.48,0.97,0.55,1.8,NA,87,NA,NA,NA,NA,0.0627,NA,NA,NA,NA,NA,20.5067829475305,254.614395886889,1945
4229,"Eragrostis eriopoda","Eragrostis","Poaceae",NA,0.843,1.19,0.7,1.58,NA,37.1,NA,NA,129,NA,0.0976,NA,NA,NA,NA,NA,21.873072482098,287.422199695895,1973
4230,"Eremophila deserti","Eremophila","Scrophulariaceae",41.9,2.42,4.61,4,5.5,1,108,0.843,0.75,220,15.9,27.1,0.85,511,0.001,NA,29,18.3637608372724,415.671111111111,1351
4231,"Eremophila eriocalyx","Eremophila","Scrophulariaceae",23.5,2.69,4.47,2,2.4,1,NA,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,20.4274285180228,278.908163265306,98
4232,"Eremophila serrulata","Eremophila","Scrophulariaceae",37,3.06,4.28,2.5,12.7,0.8,NA,NA,NA,NA,NA,30.1,NA,NA,NA,NA,NA,19.2849918115334,264.945355191257,549
4233,"Eriachne aristidea","Eriachne","Poaceae",130,5.88,5.78,0.5,4.5,NA,351,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,23.2457931581712,298.291390728477,755
4234,"Pappochroma bellidioides","Pappochroma","Asteraceae",NA,0.88,5.78,0.3,NA,NA,367,NA,NA,11.8,NA,0.599,NA,NA,NA,NA,NA,7.67914769749442,1401.32335329341,167
4235,"Erigeron nitidus","Erigeron","Asteraceae",37.5,0.75,6.8,0.263,12,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4236,"Eriostemon australasius","Eriostemon","Rutaceae",48.8,3.02,5.39,2,7.73,NA,138,0.761,0.538,152,12.6,18.2,0.236,491,0.000982,NA,12.1,16.7396289507548,1169.65229885057,348
4237,"Erodiophyllum elderi","Erodiophyllum","Asteraceae",70,1.85,3.73,0.5,25,NA,NA,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,18.3001826150077,232.831168831169,77
4238,"Eryngium ovinum","Eryngium","Apiaceae",97.2,2.46,3.9,0.6,42.8,NA,1530,NA,NA,133,NA,1.6,NA,NA,NA,NA,NA,13.9072213392186,607.575840768703,1458
4239,"Eucalyptus accedens","Eucalyptus","Myrtaceae",130,1.18,1.72,25,21,NA,1690,0.896,0.504,366,10.7,2.96,0.36,NA,NA,NA,NA,17.8036111195882,538.31914893617,141
4240,"Eucalyptus acmenoides","Eucalyptus","Myrtaceae",104,1.06,1.64,45,22.2,NA,1770,0.774,NA,184,9.9,2.74,0.394,524,0.000151,NA,NA,18.1052524110249,1236.16,1400
4241,"Eucalyptus agglomerata","Eucalyptus","Myrtaceae",108,1.1,1.78,40,24.5,NA,2830,0.602,NA,244,9.02,4.02,0.43,NA,NA,NA,NA,14.8568670855516,958.795983086681,946
4242,"Eucalyptus aggregata","Eucalyptus","Myrtaceae",100,0.84,1.56,20,17.5,NA,NA,NA,NA,183,14.3,0.871,NA,NA,NA,NA,NA,11.9228026618255,816.944785276074,163
4243,"Eucalyptus albens","Eucalyptus","Myrtaceae",131,1.23,1.54,25,28.4,NA,2420,0.943,0.394,247,NA,1.85,NA,NA,NA,NA,NA,15.6749014983217,715.268351800554,2888
4244,"Eucalyptus albopurpurea","Eucalyptus","Myrtaceae",105,1.02,1.2,5,21,NA,1820,NA,NA,281,13.1,0.291,NA,NA,NA,NA,NA,16.1005498735528,499.526315789474,38
4245,"Eucalyptus amygdalina","Eucalyptus","Myrtaceae",104,1.01,1.68,30,9,NA,655,0.605,NA,197,10.2,2.84,0.685,507,0.000136,NA,NA,11.2131158236195,902.297794117647,273
4246,"Eucalyptus angulosa","Eucalyptus","Myrtaceae",95,2.17,3.06,5,33.5,NA,NA,NA,NA,431,8.4,6.19,NA,NA,NA,NA,NA,16.0216911845737,514.405555555556,181
4247,"Eucalyptus annulata","Eucalyptus","Myrtaceae",87.5,1.24,1.78,7,12,NA,NA,0.826,NA,296,10.2,1.09,NA,NA,NA,NA,NA,16.067961869921,403.128571428571,70
4248,"Eucalyptus apiculata","Eucalyptus","Myrtaceae",72.5,1.72,1.33,6,5,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA,13.7872624092914,1020.06382978723,94
4249,"Eucalyptus arenacea","Eucalyptus","Myrtaceae",97.5,1.53,2.35,10,24.8,NA,1840,0.604,NA,288,8.2,1.63,NA,NA,NA,NA,NA,14.8016953953571,524.758480325645,737
4250,"Eucalyptus bakeri","Eucalyptus","Myrtaceae",76.2,0.84,1.23,12,9.25,NA,678,0.788,NA,279,11.5,0.95,NA,NA,NA,NA,NA,19.0994682493664,668.095238095238,105
4251,"Eucalyptus baudiniana","Eucalyptus","Myrtaceae",70,0.91,1.38,10,10,NA,NA,NA,NA,365,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4252,"Eucalyptus baxteri","Eucalyptus","Myrtaceae",97.5,1.71,2.66,40,30.6,NA,2980,0.666,0.504,239,9.6,8.08,0.29,482,NA,NA,NA,13.5204762264189,820.116497263487,1279
4253,"Eucalyptus blakelyi","Eucalyptus","Myrtaceae",137,0.77,0.985,25,21.2,NA,2030,0.822,0.38,209,17.1,0.632,NA,NA,NA,NA,NA,15.091050436078,749.153491233467,3251
4254,"Eucalyptus boliviana","Eucalyptus","Myrtaceae",120,1.71,2.08,12,37.5,NA,NA,NA,NA,NA,NA,1.48,NA,NA,NA,NA,NA,14.2571249008179,842.25,4
4255,"Eucalyptus botryoides","Eucalyptus","Myrtaceae",147,1.23,1.63,40,49.2,NA,4250,0.715,0.345,150,14.2,1.18,NA,NA,NA,NA,NA,15.3296032363162,979.106060606061,862
4256,"Eucalyptus brachycalyx","Eucalyptus","Myrtaceae",77.5,1.04,2.72,10,11.8,NA,797,0.868,NA,337,8.6,0.351,NA,NA,NA,NA,NA,16.9285750139911,333.113374667848,1130
4257,"Eucalyptus brachycorys","Eucalyptus","Myrtaceae",80,0.94,1.17,7,10.5,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4258,"Eucalyptus brockwayi","Eucalyptus","Myrtaceae",110,1.15,1.6,15,13,NA,1020,0.97,NA,317,9.3,2.04,NA,NA,NA,NA,NA,18.279333114624,489.666666666667,6
4259,"Eucalyptus burracoppinensis","Eucalyptus","Myrtaceae",93.8,1.46,2.38,6,18,NA,1170,NA,NA,422,13.5,4.24,NA,NA,NA,NA,NA,17.6169018968243,332.672897196262,107
4260,"Eucalyptus cadens","Eucalyptus","Myrtaceae",120,0.81,1.48,25,17.2,NA,963,NA,NA,175,NA,0.271,NA,NA,NA,NA,NA,14.1235133743286,839.72,25
4261,"Eucalyptus calcareana","Eucalyptus","Myrtaceae",105,1.79,2.16,15,17,NA,3630,NA,NA,258,10,2.61,NA,NA,NA,NA,NA,17.4033763858822,292.853146853147,286
4262,"Eucalyptus cinerea","Eucalyptus","Myrtaceae",110,1.19,1.69,15,28.8,NA,NA,0.657,NA,150,14,1.54,NA,NA,NA,NA,NA,13.7682875937964,800.136094674556,338
4263,"Eucalyptus coccifera","Eucalyptus","Myrtaceae",87.5,1.26,1.78,30,17.5,NA,2030,0.588,NA,270,NA,4.06,NA,NA,NA,NA,NA,7.92522288937318,1361.85526315789,152
4264,"Eucalyptus conglomerata","Eucalyptus","Myrtaceae",97,1.27,1.13,8,24.5,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,19.8025750552907,1436.11764705882,17
4265,"Eucalyptus coolabah","Eucalyptus","Myrtaceae",123,1.13,1.62,20,16.8,NA,1790,0.958,0.499,270,11.8,0.484,0.584,290,NA,NA,NA,21.4088975293793,373.56204379562,2055
4266,"Eucalyptus cooperiana","Eucalyptus","Myrtaceae",84,1.26,1.81,4,17.5,NA,NA,NA,NA,442,7.2,1.62,NA,NA,NA,NA,NA,16.517105922699,480.94,50
4267,"Eucalyptus cornuta","Eucalyptus","Myrtaceae",101,1.47,2.12,20,21.5,NA,NA,0.906,NA,207,15.5,3.5,NA,NA,NA,NA,NA,15.5690336657,687.045045045045,112
4268,"Eucalyptus cosmophylla","Eucalyptus","Myrtaceae",128,1.55,2.11,10,30.8,NA,2340,NA,NA,317,11.1,6.08,NA,490,NA,NA,NA,14.8500784372879,757.194915254237,118
4269,"Eucalyptus crenulata","Eucalyptus","Myrtaceae",51.2,1.18,1.27,12,42.5,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,13.0892118313991,820.97247706422,109
4270,"Eucalyptus croajingolensis","Eucalyptus","Myrtaceae",105,0.78,1.48,30,22.7,NA,1630,NA,NA,104,NA,0.369,NA,NA,NA,NA,NA,12.6748204964041,897.567928730512,449
4271,"Eucalyptus crucis","Eucalyptus","Myrtaceae",NA,1.44,2.1,NA,NA,NA,NA,NA,NA,215,13.4,19,NA,NA,NA,NA,NA,18.1922928866218,337.294117647059,51
4272,"Eucalyptus cunninghamii","Eucalyptus","Myrtaceae",67.5,1.91,1.32,3,5.5,NA,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,13.7085145038107,1153.78260869565,23
4273,"Eucalyptus cyanophylla","Eucalyptus","Myrtaceae",135,1.48,1.94,6,27,NA,1610,NA,NA,455,7.9,10.8,NA,NA,NA,NA,NA,16.9837159026753,289.8125,176
4274,"Eucalyptus cylindriflora","Eucalyptus","Myrtaceae",67.5,0.91,1.05,4,8,NA,NA,NA,NA,412,12,1.99,NA,NA,NA,NA,NA,16.637123743693,330.505376344086,93
4275,"Eucalyptus cylindrocarpa","Eucalyptus","Myrtaceae",85,0.93,1.16,6,9,NA,NA,0.954,NA,396,9.8,1.12,NA,NA,NA,NA,NA,17.5911519102854,287.239726027397,146
4276,"Eucalyptus dalrympleana","Eucalyptus","Myrtaceae",180,1.2,1.88,60,22.5,NA,3130,0.59,0.264,161,12.6,12.6,0.9,NA,NA,NA,NA,11.0138402827322,1008.17179023508,1659
4277,"Eucalyptus dealbata","Eucalyptus","Myrtaceae",96.2,0.72,1.17,20,22,NA,1870,0.834,NA,199,16.1,1.51,NA,NA,NA,NA,NA,16.1475218834951,730.136571952337,1091
4278,"Eucalyptus decurva","Eucalyptus","Myrtaceae",77.5,1.58,2.48,3,18.5,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,15.9571041870117,569.82,100
4279,"Eucalyptus dendromorpha","Eucalyptus","Myrtaceae",92.5,1.29,1.76,30,17.5,NA,2140,NA,0.415,230,13.3,4,NA,NA,NA,NA,NA,14.0366335408441,1237.03448275862,58
4280,"Eucalyptus depauperata","Eucalyptus","Myrtaceae",53.5,0.79,1.21,4,9.5,NA,NA,NA,NA,323,12.2,0.371,NA,NA,NA,NA,NA,16.167088953654,349.2,30
4281,"Eucalyptus desmondensis","Eucalyptus","Myrtaceae",82.5,0.56,1.11,6,20,NA,1510,NA,NA,335,11.2,3.12,NA,NA,NA,NA,NA,15.7886001586914,660.8,5
4282,"Eucalyptus diptera","Eucalyptus","Myrtaceae",91,1.3,1.62,10,13.5,NA,NA,0.875,NA,300,9.8,2.2,NA,NA,NA,NA,NA,16.5870719449273,313.879310344828,58
4283,"Eucalyptus dives","Eucalyptus","Myrtaceae",123,0.9,1.68,25,27.5,NA,2220,0.651,0.272,175,11,2.8,0.65,NA,NA,NA,NA,11.9668435943939,923.309639002605,2687
4284,"Eucalyptus doratoxylon","Eucalyptus","Myrtaceae",68.5,1.21,2.32,5,10.5,NA,NA,NA,NA,183,13.5,2.13,NA,NA,NA,NA,NA,15.3757301374923,620.255813953488,43
4285,"Eucalyptus dumosa","Eucalyptus","Myrtaceae",96.6,1.07,1.88,10,17.5,NA,1060,0.826,0.584,356,9.48,0.816,0.451,523,0.000374,NA,29.9,16.8525528772891,338.811544342508,2616
4286,"Eucalyptus dundasii","Eucalyptus","Myrtaceae",97.5,0.98,1.47,15,11.5,NA,1020,0.945,NA,269,8.9,1.23,NA,NA,NA,NA,NA,17.2992851936211,308.610169491525,59
4287,"Eucalyptus elata","Eucalyptus","Myrtaceae",137,1.04,1.82,40,13,NA,1800,0.616,0.278,131,13.7,1.82,NA,NA,NA,NA,NA,13.9709524001591,929.117782909931,866
4288,"Eucalyptus eremophila","Eucalyptus","Myrtaceae",77.5,1.07,1.4,5,15,NA,NA,0.919,NA,427,13.7,1.18,NA,NA,NA,NA,NA,17.0379589751915,339.407407407407,216
4289,"Eucalyptus erythrocorys","Eucalyptus","Myrtaceae",145,3.79,4.02,8,21,NA,2310,0.704,NA,301,13.8,15.4,NA,NA,NA,NA,NA,19.021686272543,535.918032786885,61
4290,"Eucalyptus exilis","Eucalyptus","Myrtaceae",50,2.57,3.59,4,11.5,NA,NA,NA,NA,274,11.1,15.8,NA,NA,NA,NA,NA,14.8108334541321,703.5,2
4291,"Eucalyptus fraxinoides","Eucalyptus","Myrtaceae",137,1.48,2.54,40,21.7,NA,2580,0.499,0.435,270,11,9.08,NA,NA,NA,NA,NA,12.1685653501941,909.225806451613,124
4292,"Eucalyptus froggattii","Eucalyptus","Myrtaceae",54.8,0.81,1.1,10,19.2,NA,1330,NA,NA,400,7.5,0.945,NA,NA,NA,NA,NA,14.7636131211823,504.274509803922,51
4293,"Eucalyptus fulgens","Eucalyptus","Myrtaceae",174,1,1.54,20,22.2,NA,NA,NA,NA,182,13.3,0.426,NA,NA,NA,NA,NA,13.6774463956318,993.746031746032,126
4294,"Eucalyptus gamophylla","Eucalyptus","Myrtaceae",62.5,1.98,3.34,8,22.2,NA,2130,0.656,NA,252,11.4,4.49,NA,487,NA,NA,NA,22.8388979529007,321.610208816705,431
4295,"Eucalyptus gillii","Eucalyptus","Myrtaceae",53.3,1.32,1.94,8,22.2,NA,NA,NA,NA,504,10.8,3.79,NA,NA,NA,NA,NA,18.4315612779247,259.280575539568,139
4296,"Eucalyptus glaucescens","Eucalyptus","Myrtaceae",108,1.48,2.31,50,21.5,NA,NA,NA,NA,NA,NA,4.93,NA,NA,NA,NA,NA,9.71172662734985,1098.96,75
4297,"Eucalyptus goniocalyx","Eucalyptus","Myrtaceae",178,1.44,2.02,20,26.4,NA,3520,0.735,NA,255,11,1.17,NA,NA,NA,NA,NA,13.4262920179485,804.548148148148,2025
4298,"Eucalyptus gracilis","Eucalyptus","Myrtaceae",71.9,0.87,1.31,10,10.3,NA,570,0.88,NA,345,11.7,0.438,NA,NA,NA,302,NA,17.0686678054964,320.773693086003,2965
4299,"Eucalyptus gregsoniana","Eucalyptus","Myrtaceae",88.8,1.56,1.66,5,17.5,NA,1480,NA,NA,266,NA,3.33,NA,NA,NA,NA,NA,12.1904583573341,985,32
4300,"Eucalyptus griffithsii","Eucalyptus","Myrtaceae",108,1.35,2.05,10,17.5,NA,NA,1.01,NA,336,12.9,2.33,NA,NA,NA,NA,NA,18.149967109265,284.986394557823,147
4301,"Eucalyptus hypolaena","Eucalyptus","Myrtaceae",120,1.35,1.85,15,21.5,NA,NA,NA,NA,560,9.8,1.13,NA,NA,NA,NA,NA,18.823041677475,231.285714285714,56
4302,"Eucalyptus imlayensis","Eucalyptus","Myrtaceae",119,1.48,1.51,7,20,NA,NA,NA,NA,216,8.7,0.645,NA,NA,NA,NA,NA,12.3671669960022,1211.5,2
4303,"Eucalyptus incrassata","Eucalyptus","Myrtaceae",100,1.89,2.78,8,23.8,NA,922,0.85,0.747,437,8.07,3.78,NA,525,NA,NA,NA,16.283292429526,381.28285933897,2604
4304,"Eucalyptus infera","Eucalyptus","Myrtaceae",85,0.69,0.685,8,35,NA,NA,NA,NA,236,14.5,0.143,NA,NA,NA,NA,NA,16.6817288398743,723.5,8
4305,"Eucalyptus kondininensis","Eucalyptus","Myrtaceae",NA,1.23,1.97,10,NA,NA,1100,NA,NA,307,10.6,1.87,NA,NA,NA,NA,NA,16.4721389611562,360.302083333333,96
4306,"Eucalyptus kybeanensis","Eucalyptus","Myrtaceae",80,1.87,1.43,6,10.8,NA,NA,NA,NA,NA,NA,4.01,NA,NA,NA,NA,NA,9.74283905183115,1120.98387096774,62
4307,"Eucalyptus lacrimans","Eucalyptus","Myrtaceae",118,1.56,1.94,15,16,NA,NA,NA,NA,393,18.3,1.47,NA,NA,NA,NA,NA,9.6781000818525,900.485714285714,35
4308,"Eucalyptus laevopinea","Eucalyptus","Myrtaceae",125,1.72,2.25,40,23.5,NA,3470,NA,NA,182,NA,11,NA,NA,NA,NA,NA,14.2700917061618,955.105914718019,727
4309,"Eucalyptus langleyi","Eucalyptus","Myrtaceae",126,2.04,1.99,6,31.5,1.24,NA,NA,NA,400,12.9,1.96,NA,NA,NA,NA,NA,15.9142706394196,1124.875,16
4310,"Eucalyptus largiflorens","Eucalyptus","Myrtaceae",137,1.02,1.37,20,16.6,NA,1010,0.935,0.451,244,10.6,0.477,NA,NA,NA,NA,NA,17.3157979411306,387.562568405691,2742
4311,"Eucalyptus leptophleba","Eucalyptus","Myrtaceae",175,1.58,2.6,20,26,NA,NA,0.964,NA,NA,NA,6.15,NA,NA,NA,NA,NA,24.5107038128483,1202.29279279279,224
4312,"Eucalyptus leptophylla","Eucalyptus","Myrtaceae",68.3,0.84,1.36,6,7.25,NA,295,0.843,NA,278,13.2,0.368,NA,NA,NA,NA,NA,NA,NA,NA
4313,"Eucalyptus ligustrina","Eucalyptus","Myrtaceae",70,1.14,1.74,20,13.8,NA,1090,NA,NA,268,NA,2.9,NA,NA,NA,NA,NA,14.2112133447514,1118.39534883721,86
4314,"Eucalyptus longissima","Eucalyptus","Myrtaceae",82.5,0.89,1.43,8,13.5,NA,801,NA,NA,289,12.6,0.53,NA,526,NA,NA,NA,18.427098823806,277.483050847458,118
4315,"Eucalyptus luculenta","Eucalyptus","Myrtaceae",110,1.21,1.66,5,30,NA,NA,NA,NA,NA,NA,0.287,NA,NA,NA,NA,NA,NA,NA,NA
4316,"Eucalyptus macrorhyncha subsp. macrorhyncha","Eucalyptus","Myrtaceae",108,1.33,2.06,35,25,NA,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4317,"Eucalyptus marginata","Eucalyptus","Myrtaceae",NA,2.02,2.64,NA,NA,NA,2460,0.706,NA,113,9.65,16.4,0.65,NA,NA,NA,NA,16.5131160715124,800.199633699634,546
4318,"Eucalyptus mckieana","Eucalyptus","Myrtaceae",87.5,1.58,1.1,30,16,NA,NA,NA,NA,NA,NA,1.58,NA,NA,NA,NA,NA,14.3497618675232,857.785714285714,70
4319,"Eucalyptus megacarpa","Eucalyptus","Myrtaceae",105,1.77,3.01,20,24,NA,4010,0.583,NA,206,10.7,9.5,NA,NA,NA,NA,NA,15.3115376351585,910.098591549296,71
4320,"Eucalyptus megacornuta","Eucalyptus","Myrtaceae",85,1.99,2.64,15,17.5,NA,1330,0.809,NA,253,10,5.27,NA,NA,NA,NA,NA,15.9149419950402,463.04347826087,23
4321,"Eucalyptus melliodora","Eucalyptus","Myrtaceae",113,1.17,1.52,30,17,NA,1450,0.851,0.355,196,14.6,0.399,NA,NA,NA,NA,NA,14.6641344760856,716.073789530105,5597
4322,"Eucalyptus micranthera","Eucalyptus","Myrtaceae",88.5,1.4,2.3,4,16.5,NA,NA,NA,NA,408,8.7,16.4,NA,NA,NA,NA,NA,16.4311381234063,504.5,91
4323,"Eucalyptus microcarpa","Eucalyptus","Myrtaceae",114,0.82,1.32,25,18.5,NA,1600,0.912,0.373,257,11.7,0.498,NA,NA,NA,NA,NA,15.5584220556015,567.736608464043,3379
4324,"Eucalyptus microcorys","Eucalyptus","Myrtaceae",102,1.48,2.02,60,22.5,NA,2170,0.771,NA,125,13,1.03,NA,NA,0.00231,NA,NA,17.428399342003,1293.5507859734,1654
4325,"Eucalyptus morrisbyi","Eucalyptus","Myrtaceae",86.8,1.67,1.68,16,33.8,NA,3140,NA,NA,NA,NA,0.886,NA,NA,NA,NA,NA,12.3058310917446,604,7
4326,"Eucalyptus morrisii","Eucalyptus","Myrtaceae",100,1.02,1.33,10,15.2,NA,2320,NA,NA,300,11.2,1.99,NA,NA,NA,NA,NA,18.4811463500514,388.712121212121,66
4327,"Eucalyptus muelleriana","Eucalyptus","Myrtaceae",125,1.69,2.34,40,23.3,NA,3660,0.774,0.38,198,11.3,8.66,0.63,NA,NA,NA,NA,14.0132457963176,935.150480256137,937
4328,"Eucalyptus neglecta","Eucalyptus","Myrtaceae",70,0.84,1.32,7,46,NA,NA,NA,NA,NA,NA,2.36,NA,NA,NA,NA,NA,10.6319848320701,1089.70909090909,55
4329,"Eucalyptus neutra","Eucalyptus","Myrtaceae",92.5,1.26,1.62,6,13.5,NA,NA,NA,NA,382,12.8,0.63,NA,NA,NA,NA,NA,16.552007039388,366.795698924731,93
4330,"Eucalyptus nitens","Eucalyptus","Myrtaceae",213,1.08,1.82,70,24.2,NA,3530,0.55,0.405,240,15.6,2.38,NA,NA,NA,NA,NA,10.4616721181447,1213.12315270936,203
4331,"Eucalyptus nitida","Eucalyptus","Myrtaceae",111,1,1.52,40,14.2,NA,1780,NA,NA,267,NA,1.13,NA,NA,NA,NA,NA,10.3868491744155,1679.00440528634,228
